date,adj
2012-10-04,115.2312240600586
2012-10-05,115.23909759521484
2012-10-08,114.84481811523438
2012-10-09,113.70934295654297
2012-10-10,112.98385620117188
2012-10-11,113.04695129394531
2012-10-12,112.67630767822266
2012-10-15,113.61469268798828
2012-10-16,114.7659683227539
2012-10-17,115.28639221191406
2012-10-18,114.98678588867188
2012-10-19,113.0705337524414
2012-10-22,113.08639526367188
2012-10-23,111.51713562011719
2012-10-24,111.20173645019531
2012-10-25,111.52501678466797
2012-10-26,111.46195220947266
2012-10-31,111.46195220947266
2012-11-01,112.6290054321289
2012-11-02,111.62751007080078
2012-11-05,111.85623931884766
2012-11-06,112.73149871826172
2012-11-07,110.1766128540039
2012-11-08,108.85182189941406
2012-11-09,108.94644165039062
2012-11-12,109.03316497802734
2012-11-13,108.65472412109375
2012-11-14,107.18798828125
2012-11-15,107.00660705566406
2012-11-16,107.53492736816406
2012-11-19,109.71136474609375
2012-11-20,109.75865173339844
2012-11-21,109.96368408203125
2012-11-23,111.46195220947266
2012-11-26,111.2253646850586
2012-11-27,110.65758514404297
2012-11-28,111.54867553710938
2012-11-29,112.06913757324219
2012-11-30,112.0927734375
2012-12-03,111.54083251953125
2012-12-04,111.38307189941406
2012-12-05,111.5802230834961
2012-12-06,111.95868682861328
2012-12-07,112.29780578613281
2012-12-10,112.34512329101562
2012-12-11,113.11002349853516
2012-12-12,113.16519165039062
2012-12-13,112.47129821777344
2012-12-14,112.0533447265625
2012-12-17,113.3702392578125
2012-12-18,114.63191223144531
2012-12-19,113.7802734375
2012-12-20,114.43479919433594
2012-12-21,113.39598846435547
2012-12-24,113.04663848876953
2012-12-26,112.5700912475586
2012-12-27,112.41921997070312
2012-12-28,111.20419311523438
2012-12-31,113.09427642822266
2013-01-02,115.99287414550781
2013-01-03,115.73085021972656
2013-01-04,116.23908996582031
2013-01-07,115.92142486572266
2013-01-08,115.587890625
2013-01-09,115.8817138671875
2013-01-10,116.80290222167969
2013-01-11,116.79500579833984
2013-01-14,116.7155990600586
2013-01-15,116.79500579833984
2013-01-16,116.77909851074219
2013-01-17,117.53350830078125
2013-01-18,117.79559326171875
2013-01-22,118.43091583251953
2013-01-23,118.62149810791016
2013-01-24,118.6532974243164
2013-01-25,119.32037353515625
2013-01-28,119.17741394042969
2013-01-29,119.64598083496094
2013-01-30,119.17741394042969
2013-01-31,118.88359069824219
2013-02-01,120.10653686523438
2013-02-04,118.75658416748047
2013-02-05,119.95571899414062
2013-02-06,120.04305267333984
2013-02-07,119.88420867919922
2013-02-08,120.55126190185547
2013-02-11,120.52748107910156
2013-02-12,120.72599029541016
2013-02-13,120.8292465209961
2013-02-14,120.94038391113281
2013-02-15,120.7974853515625
2013-02-19,121.70281219482422
2013-02-20,120.18595886230469
2013-02-21,119.45540618896484
2013-02-22,120.62275695800781
2013-02-25,118.32766723632812
2013-02-26,119.13768005371094
2013-02-27,120.63863372802734
2013-02-28,120.400390625
2013-03-01,120.7974853515625
