week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2015-07-10,2015-07-06,2015-07-10,2020.0,1970.0,1.8,2076.6201171875,0.0,177.36,1,0.027340415689618668
2015-07-24,2015-07-20,2015-07-24,2070.0,2020.0,0.35000000000000003,2079.64990234375,0.0,32.36,548,0.02663351363613351
2015-07-31,2015-07-27,2015-07-31,2025.0,1975.0,2.45,2103.840087890625,0.0,242.36000000000004,129,0.026278414593802528
2015-08-07,2015-08-03,2015-08-07,2045.0,1995.0,0.5499999999999999,2077.570068359375,0.0,52.35999999999999,223,0.027967946912552603
2015-08-14,2015-08-10,2015-08-14,2020.0,1970.0,0.2,2091.5400390625,0.0,17.36,365,0.027710289648539842
2015-09-04,2015-08-31,2015-09-04,1935.0,1885.0,8.1,1921.219970703125,13.780029296875,-570.6429296875,61,0.027085729710560287
2015-09-11,2015-09-08,2015-09-11,1870.0,1820.0,1.2,1961.050048828125,0.0,117.36,17,0.026660128191557157
2015-09-25,2015-09-21,2015-09-25,1905.0,1855.0,1.7000000000000002,1931.3399658203125,0.0,167.36000000000004,62,0.02708335853047054
2015-10-02,2015-09-28,2015-10-02,1880.0,1830.0,7.9,1951.3599853515625,0.0,787.36,59,0.026582562743430047
2015-10-09,2015-10-05,2015-10-09,1900.0,1850.0,1.15,2014.8900146484373,0.0,112.35999999999999,3,0.026320097643238973
2015-10-23,2015-10-19,2015-10-23,1975.0,1925.0,0.5999999999999999,2075.14990234375,0.0,57.359999999999985,185,0.02858182084109641
2015-10-30,2015-10-26,2015-10-30,2020.0,1970.0,1.5,2079.360107421875,0.0,147.36,3,0.026576346258871078
2015-11-06,2015-11-02,2015-11-06,2020.0,1970.0,0.75,2099.199951171875,0.0,72.36,75,0.02854729549249336
2015-11-13,2015-11-09,2015-11-13,2040.0,1990.0,2.0,2023.0400390625,16.9599609375,-1498.63609375,194,0.02820119690781563
2015-11-27,2015-11-23,2015-11-27,2030.0,1980.0,0.4,2090.110107421875,0.0,37.36,33,0.028322216041620895
2015-12-04,2015-11-30,2015-12-04,2035.0,1985.0,2.1,2091.68994140625,0.0,207.36,30,0.026367083354212683
2015-12-11,2015-12-07,2015-12-11,2035.0,1985.0,2.1500000000000004,2012.3699951171875,22.6300048828125,-2050.64048828125,139,0.027102459252702226
2015-12-25,2015-12-21,2015-12-24,1950.0,1900.0,1.05,2060.989990234375,0.0,102.36,216,0.02769816134011903
2016-01-01,2015-12-28,2015-12-31,2005.0,1955.0,1.75,2043.93994140625,0.0,172.36,53,0.02716655126889182
2016-01-08,2016-01-04,2016-01-08,1990.0,1940.0,10.100000000000001,1922.030029296875,50.0,-3992.64,25,0.02639017923840698
2016-01-22,2016-01-19,2016-01-22,1830.0,1780.0,3.5500000000000003,1906.9000244140625,0.0,352.36,131,0.026766555461515875
2016-01-29,2016-01-25,2016-01-29,1855.0,1805.0,5.6,1940.239990234375,0.0,557.36,50,0.02721696142932818
2016-02-05,2016-02-01,2016-02-05,1885.0,1835.0,4.5,1880.050048828125,4.949951171875,-47.6351171875,160,0.028470699765188418
2016-02-12,2016-02-08,2016-02-12,1830.0,1780.0,12.5,1864.780029296875,0.0,1247.36,20,0.026621657683699566
2016-02-26,2016-02-22,2016-02-26,1865.0,1815.0,0.7000000000000001,1948.050048828125,0.0,67.36,165,0.027521419813838606
2016-03-04,2016-02-29,2016-03-04,1895.0,1845.0,2.85,1999.989990234375,0.0,282.36,68,0.027232384948239884
2016-03-11,2016-03-07,2016-03-11,1945.0,1895.0,2.6999999999999997,2022.18994140625,0.0,267.36,159,0.027495132727104712
2016-03-25,2016-03-21,2016-03-24,1995.0,1945.0,0.39999999999999997,2035.93994140625,0.0,37.36,29,0.026629883217312997
2016-04-01,2016-03-28,2016-04-01,1980.0,1930.0,0.7,2072.780029296875,0.0,67.36,23,0.027476223766999514
2016-04-08,2016-04-04,2016-04-08,2015.0,1965.0,0.45,2047.5999755859373,0.0,42.36,12,0.02787562041326452
2016-04-22,2016-04-18,2016-04-22,2025.0,1975.0,0.6499999999999999,2091.580078125,0.0,62.359999999999985,31,0.026783859987539117
2016-04-29,2016-04-25,2016-04-29,2035.0,1985.0,1.3,2065.300048828125,0.0,127.36,14,0.027051356396414566
2016-05-06,2016-05-02,2016-05-06,2010.0,1960.0,1.1,2057.139892578125,0.0,107.36000000000001,151,0.026775794083529356
2016-05-13,2016-05-09,2016-05-13,2000.0,1950.0,0.6,2046.6099853515625,0.0,57.36,281,0.027776376698676546
2016-05-27,2016-05-23,2016-05-27,1995.0,1945.0,0.6000000000000001,2099.06005859375,0.0,57.36000000000001,30,0.027929400117982898
2016-06-03,2016-05-31,2016-06-03,2040.0,1990.0,0.04999999999999999,2099.1298828125,0.0,2.359999999999999,199,0.028136431043005436
2016-06-10,2016-06-06,2016-06-10,2040.0,1990.0,0.09999999999999998,2096.070068359375,0.0,7.359999999999998,140,0.028168758539740935
2016-06-24,2016-06-20,2016-06-24,2015.0,1965.0,1.6500000000000001,2037.4100341796875,0.0,162.36,77,0.027143408956239345
2016-07-01,2016-06-27,2016-07-01,1980.0,1930.0,9.0,2102.949951171875,0.0,897.36,32,0.02817794808927709
2016-07-08,2016-07-05,2016-07-08,2045.0,1995.0,1.5,2129.89990234375,0.0,147.36,52,0.027556505155808497
2016-07-22,2016-07-18,2016-07-22,2105.0,2055.0,0.30000000000000004,2175.030029296875,0.0,27.360000000000003,50,0.026247370401018152
