date,open,high,low,close,atr_prev,prev_close
2021-12-10,4548.37,4713.57,4540.51,4712.02,108.39864846359777,4538.43
2021-12-17,4710.3,4731.99,4600.22,4620.64,113.16588785905503,4712.02
2021-12-24,4587.9,4740.74,4531.1,4725.79,114.49475301197964,4620.64
2021-12-31,4733.99,4808.93,4733.99,4766.18,121.29084208255249,4725.79
2022-01-07,4778.14,4818.62,4662.74,4677.03,118.56578193379876,4766.18
2022-01-14,4655.34,4748.83,4582.24,4662.85,121.23108322424171,4677.03
2022-01-21,4632.24,4632.24,4395.34,4397.94,124.4710058510816,4662.85
2022-01-28,4356.32,4453.23,4222.62,4431.85,134.68807686171863,4397.94
2022-02-04,4431.79,4595.31,4414.02,4500.53,141.5396428001673,4431.85
2022-02-11,4505.75,4590.03,4401.41,4418.64,144.37895402872675,4500.53
2022-02-18,4412.61,4489.55,4327.22,4348.87,147.53902874096053,4418.64
2022-02-25,4332.74,4385.34,4114.65,4384.65,148.5955266880348,4348.87
2022-03-04,4354.17,4416.78,4279.54,4328.87,157.31656049603234,4384.65
2022-03-11,4327.01,4327.01,4157.87,4204.31,155.88252046060146,4328.87
2022-03-18,4202.75,4465.4,4161.72,4463.12,156.96234042770138,4204.31
2022-03-25,4462.4,4546.03,4424.3,4543.06,167.4421732542941,4463.12
2022-04-01,4541.09,4637.3,4507.57,4545.86,164.17701802184448,4543.06
2022-04-08,4547.97,4593.45,4450.04,4488.28,161.71651673456992,4545.86
2022-04-15,4462.64,4471.0,4381.34,4392.59,160.40890839638635,4488.28
2022-04-22,4385.63,4512.94,4267.62,4271.78,156.5897006537873,4392.59
2022-04-29,4255.34,4308.45,4124.28,4131.93,162.92757917851674,4271.78
2022-05-06,4130.61,4307.66,4062.51,4123.34,164.44489495147982,4131.93
2022-05-13,4081.27,4081.27,3858.87,4023.89,170.20954531208838,4123.34
2022-05-20,4013.02,4090.72,3810.32,3901.36,176.9424349326535,4023.89
2022-05-27,3919.42,4158.49,3875.13,4158.24,184.33226100889252,3901.36
2022-06-03,4151.09,4177.51,4073.85,4108.54,191.40567093682876,4158.24
2022-06-10,4134.72,4168.78,3900.16,3900.86,185.1381230127696,4108.54
2022-06-17,3838.15,3838.15,3636.87,3674.84,191.10111422614318,3900.86
2022-06-24,3715.31,3913.65,3715.31,3911.74,196.30746320999012,3674.84
2022-07-01,3920.76,3945.86,3738.67,3825.33,199.34335869499083,3911.74
2022-07-08,3792.61,3918.5,3742.06,3899.38,199.90383307392008,3825.33
2022-07-15,3880.94,3880.94,3721.56,3863.16,198.22784499721152,3899.38
2022-07-22,3883.79,4012.44,3818.63,3961.63,196.77014178312498,3863.16
2022-07-29,3965.72,4140.15,3910.74,4130.29,196.55870308433035,3961.63
2022-08-05,4112.38,4167.66,4079.81,4145.19,198.90522429259246,4130.29
