week_end,entry,struct,implied,med52,p75,short_k,wing_k,credit,pnl
2015-10-30,2015-10-26,t10,0.05999999999999996,0.06749999999999995,0.10999999999999979,4450.0,4340.0,2.25,222.36
2015-10-30,2015-10-26,t1236,0.05999999999999996,0.06749999999999995,0.10999999999999979,4410.0,4310.0,0.8500000000000001,82.36000000000001
2015-11-06,2015-11-02,t10,0.030000000000000072,0.06499999999999999,0.10999999999999979,4480.0,4380.0,0.55,52.36000000000001
2015-11-06,2015-11-02,t1236,0.030000000000000072,0.06499999999999999,0.10999999999999979,4440.0,4350.0,0.09999999999999987,7.359999999999985
2015-11-13,2015-11-09,t10,0.05249999999999999,0.05999999999999996,0.10999999999999979,4550.0,4450.0,1.7000000000000002,-4618.626328125
2015-11-13,2015-11-09,t1236,0.05249999999999999,0.05999999999999996,0.10999999999999979,4510.0,4420.0,0.5,-738.626328125
2015-11-27,2015-11-23,t10,0.025,0.05249999999999999,0.10999999999999979,4520.0,4410.0,0.1499999999999999,12.35999999999999
2015-12-04,2015-11-30,t10,0.05,0.05249999999999999,0.10999999999999979,4520.0,4420.0,1.7,167.36
2015-12-04,2015-11-30,t1236,0.05,0.05249999999999999,0.10999999999999979,4480.0,4390.0,0.6499999999999999,62.359999999999985
2015-12-11,2015-12-07,t10,0.04249999999999998,0.05125000000000002,0.10999999999999979,4550.0,4450.0,1.4,-1106.634140625
2015-12-11,2015-12-07,t1236,0.04249999999999998,0.05125000000000002,0.10999999999999979,4520.0,4425.0,0.6499999999999999,62.359999999999985
2015-12-25,2015-12-21,t10,0.02999999999999998,0.05125000000000002,0.10999999999999979,4350.0,4250.0,1.0,97.36
2015-12-25,2015-12-21,t1236,0.02999999999999998,0.05125000000000002,0.10999999999999979,4310.0,4220.0,0.20000000000000007,17.360000000000007
2016-01-01,2015-12-28,t10,0.03499999999999999,0.050000000000000024,0.10999999999999979,4460.0,4360.0,1.15,112.35999999999999
2016-01-01,2015-12-28,t1236,0.03499999999999999,0.050000000000000024,0.10999999999999979,4420.0,4330.0,0.4,37.36
2016-01-08,2016-01-04,t1236,,0.050000000000000024,0.10999999999999979,4400.0,4310.0,12.799999999999999,-7722.64
2016-01-22,2016-01-19,t10,0.07000000000000002,0.05,0.1049999999999999,3960.0,3850.0,2.9000000000000004,287.36000000000007
2016-01-22,2016-01-19,t1236,0.07000000000000002,0.05,0.1049999999999999,3920.0,3820.0,1.3499999999999996,132.35999999999999
2016-01-29,2016-01-25,t10,0.11000000000000014,0.05,0.1049999999999999,4075.0,3960.0,7.300000000000001,727.3600000000001
2016-01-29,2016-01-25,t1236,0.11000000000000014,0.05,0.1049999999999999,4030.0,3930.0,4.0,397.36
2016-02-05,2016-02-01,t10,0.09500000000000001,0.05,0.1049999999999999,4090.0,3980.0,5.050000000000001,-6050.6429296875
2016-02-05,2016-02-01,t1236,0.09500000000000001,0.05,0.1049999999999999,4050.0,3950.0,2.5,-2305.6429296875
2016-02-12,2016-02-08,t10,0.2799999999999997,0.05,0.0975,3830.0,3710.0,13.299999999999999,1327.36
2016-02-12,2016-02-08,t1236,0.2799999999999997,0.05,0.0975,3790.0,3680.0,9.0,897.36
2016-03-04,2016-02-29,t10,0.05500000000000003,0.05,0.0975,4050.0,3930.0,1.5499999999999998,152.35999999999999
2016-03-04,2016-02-29,t1236,0.05500000000000003,0.05,0.0975,4000.0,3900.0,0.29999999999999993,27.359999999999992
2016-03-11,2016-03-07,t10,0.07000000000000002,0.050000000000000044,0.0975,4140.0,4025.0,3.5500000000000003,352.36
2016-03-11,2016-03-07,t1236,0.07000000000000002,0.050000000000000044,0.0975,4100.0,3990.0,1.7000000000000002,167.36000000000004
2016-04-01,2016-03-28,t10,0.027500000000000035,0.050000000000000044,0.09250000000000011,4240.0,4130.0,0.9500000000000001,92.36
2016-04-01,2016-03-28,t1236,0.027500000000000035,0.050000000000000044,0.09250000000000011,4200.0,4100.0,0.3500000000000001,32.36000000000001
2016-04-22,2016-04-18,t10,0.040000000000000036,0.050000000000000044,0.09250000000000011,4380.0,4280.0,1.3499999999999999,132.36
2016-04-22,2016-04-18,t1236,0.040000000000000036,0.050000000000000044,0.09250000000000011,4350.0,4260.0,0.6499999999999999,62.359999999999985
2016-04-29,2016-04-25,t10,0.07000000000000002,0.050000000000000044,0.09250000000000011,4320.0,4220.0,2.7,267.36
2016-04-29,2016-04-25,t1236,0.07000000000000002,0.050000000000000044,0.09250000000000011,4280.0,4190.0,1.0999999999999999,107.35999999999999
2016-05-06,2016-05-02,t10,0.04499999999999993,0.050000000000000044,0.09000000000000008,4180.0,4075.0,1.75,172.36
2016-05-13,2016-05-09,t10,0.020000000000000018,0.05,0.08249999999999996,4175.0,4080.0,0.25,22.36
2016-05-27,2016-05-23,t10,0.0125,0.05,0.075,4210.0,4125.0,0.15000000000000002,12.360000000000001
2016-06-10,2016-06-06,t10,0.0125,0.04499999999999993,0.07000000000000002,4370.0,4275.0,0.15000000000000002,12.360000000000001
2016-06-24,2016-06-20,t10,0.039999999999999945,0.04499999999999993,0.07000000000000002,4240.0,4150.0,1.7999999999999998,177.35999999999999
2016-06-24,2016-06-20,t1236,0.039999999999999945,0.04499999999999993,0.07000000000000002,4210.0,4130.0,0.9500000000000002,92.36000000000001
2016-07-01,2016-06-27,t10,0.23000000000000043,0.04499999999999993,0.07000000000000002,4150.0,4060.0,14.2,1417.36
2016-07-01,2016-06-27,t1236,0.23000000000000043,0.04499999999999993,0.07000000000000002,4110.0,4040.0,8.1,807.36
2016-07-08,2016-07-05,t10,0.04249999999999998,0.04499999999999993,0.07250000000000001,4290.0,4200.0,1.65,162.36
2016-07-08,2016-07-05,t1236,0.04249999999999998,0.04499999999999993,0.07250000000000001,4250.0,4170.0,0.29999999999999993,27.359999999999992
2016-07-22,2016-07-18,t10,0.027500000000000014,0.042499999999999996,0.07250000000000001,4450.0,4360.0,0.050000000000000044,2.3600000000000043
2016-07-29,2016-07-25,t10,0.06999999999999992,0.04249999999999998,0.07250000000000001,4525.0,4440.0,2.9,287.36
2016-07-29,2016-07-25,t1236,0.06999999999999992,0.04249999999999998,0.07250000000000001,4490.0,4420.0,1.4,137.36
2016-08-05,2016-08-01,t1236,0.007499999999999995,0.04249999999999998,0.07250000000000001,4560.0,4490.0,0.050000000000000044,2.3600000000000043
2016-08-12,2016-08-08,t10,0.019999999999999973,0.04249999999999998,0.07250000000000001,4660.0,4575.0,0.55,52.36000000000001
2016-08-12,2016-08-08,t1236,0.019999999999999973,0.04249999999999998,0.07250000000000001,4625.0,4550.0,0.2500000000000001,22.36000000000001
2016-08-26,2016-08-22,t10,0.04500000000000002,0.04249999999999998,0.07250000000000001,4680.0,4610.0,1.0499999999999998,102.35999999999999
2016-08-26,2016-08-22,t1236,0.04500000000000002,0.04249999999999998,0.07250000000000001,4650.0,4580.0,0.55,52.36000000000001
2016-09-02,2016-08-29,t10,0.039999999999999994,0.042499999999999996,0.07250000000000001,4660.0,4590.0,1.25,122.36
2016-09-02,2016-08-29,t1236,0.039999999999999994,0.042499999999999996,0.07250000000000001,4630.0,4570.0,0.5999999999999999,57.359999999999985
2016-09-23,2016-09-19,t10,0.04750000000000001,0.04249999999999998,0.07250000000000001,4690.0,4620.0,0.4500000000000002,42.360000000000014
2016-10-07,2016-10-03,t10,0.08499999999999996,0.04249999999999998,0.07000000000000002,4760.0,4680.0,2.6,257.36
2016-10-07,2016-10-03,t1236,0.08499999999999996,0.04249999999999998,0.07000000000000002,4730.0,4660.0,1.2000000000000002,117.36000000000001
2016-10-14,2016-10-10,t10,0.012499999999999989,0.042499999999999996,0.07749999999999999,4750.0,4680.0,0.35,32.36
